object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,biased,ours,0,13.923822816212972,0.8618748893340429,0.24099698426822821,0.168055,0.6485441234002124,0.26693901459065505,0.27145428673668986,0.201475,0.8240038003688593,0.323782735673523,0.25492,0.9516514838204885,0.40212287379338024,130536,0,10,78.20964121818542,1.2074167728424072,,,1.2079272270202637
bookcase,biased,ours,0,15.80174724260966,0.8869652817646663,0.19535399354062974,0.199965,0.6646062706086179,0.3074309716738523,0.25650524047658513,0.23936,0.8375454088190912,0.3723165793637783,0.293575,0.9351310568378696,0.446862125377156,129532,1,15,77.88370323181152,1.229877233505249,,,1.2313663959503174
bookcase,biased,ours,0,17.497956434885662,0.9032991588115692,0.15927246098096173,0.239725,0.6871681663220254,0.35544849106011384,0.23614198319014584,0.288525,0.8739730620913206,0.4338296741523333,0.359205,0.9791538590510256,0.5255944017732456,107862,2,20,77.88238954544067,1.0725088119506836,,,1.0736253261566162
bookcase,biased,ours,0,19.57992170651754,0.9177223881085713,0.1295798609809329,0.30995,0.714066953557257,0.4322683359610933,0.2013344117064027,0.37054,0.8907505728497178,0.5233666600996006,0.442305,0.9812049404795171,0.6097489576400152,107205,3,25,80.77611804008484,1.1892130374908447,,,1.1911256313323975
bookcase,biased,ours,0,23.790595912933348,0.944404927889506,0.0798763328542312,0.46541,0.6944223998211592,0.5573066059382379,0.06375681622665998,0.55214,0.8582238864360364,0.6719680519532132,0.65722,0.9619348348516179,0.7809047023215867,93732,4,30,80.30138540267944,,,,
bookcase,biased,ours,1,13.382613913218181,0.8543967545032501,0.27356868361433345,0.14659,0.6500307382775387,0.23923054308161013,0.29017908993078034,0.17864,0.8256469010227463,0.2937279421816591,0.2235,0.9396859106913318,0.36111132211821373,134499,0,10,77.92302441596985,1.3439598083496094,,,1.346832036972046
bookcase,biased,ours,1,17.77087400754293,0.9019593179225922,0.16557513577863575,0.306515,0.7316883697535349,0.4320414808675612,0.22235997544506134,0.36585,0.9205443469513217,0.5236048341323831,0.43793,0.9882020902028726,0.6069049905482202,140951,1,15,83.53160429000854,1.18449068069458,,,1.1856300830841064
bookcase,biased,ours,1,23.245605802536012,0.9397700091203054,0.09309607970838746,0.47549,0.7399988822444531,0.5789638616334958,0.10149314305650942,0.559855,0.9298161292125412,0.6988954794276815,0.66866,0.9951489409266193,0.7998710362373763,94422,2,20,79.83544039726257,1.4552700519561768,,,1.456160068511963
bookcase,biased,ours,1,26.05943988164266,0.9534047255913417,0.06713923875552913,0.54853,0.7353769630581791,0.6283575635192258,0.042135322197846395,0.64514,0.928061253003968,0.7611606405979259,0.75751,0.9940703068238976,0.8598157848527108,90852,3,25,74.69900918006897,1.1568477153778076,,,1.160306453704834
bookcase,biased,ours,1,27.83715311686198,0.9615179697672526,0.049787931128715476,0.612,0.7497010003912145,0.673888044596583,0.022207777239522265,0.70431,0.9377410160397921,0.8044334415380684,0.80765,0.9978539093500252,0.8927332759713325,92283,4,30,77.58210062980652,,,,
bookcase,biased,random,0,14.025519879659017,0.861648228764534,0.24235452966143686,0.168665,0.6501648689431622,0.26784576816142097,0.2700701729435773,0.202695,0.8269155535684346,0.3255826148044884,0.254585,0.946677471636953,0.40126098967908486,130811,0,10,80.15532732009888,0.9754698276519775,,,8.153915405273438e-05
bookcase,biased,random,0,21.892721954981486,0.9353539695342382,0.10487768001233538,0.442305,0.8030011736433242,0.5704162424076079,0.20163269306618203,0.51108,0.9717822612194713,0.669864613933336,0.56408,0.9968423405801151,0.7204699591466589,110650,1,15,76.41317439079285,1.0590729713439941,,,9.989738464355469e-05
